                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4198,                 1.8966,                  1.187,                 0.6597,                0.61178,                0.64462,                0.37438,                  1.289,                 1.5533,                 1.1707,                0.00042,                0.00042,                0.00042
                      2,                 1.2686,                0.96937,                 1.1168,                0.83177,                0.63525,                0.72817,                 0.4333,                 1.3928,                 1.5991,                  1.272,             0.00085054,             0.00085054,             0.00085054
                      3,                 1.2491,                0.93471,                 1.1351,                0.02835,                 0.4959,                0.02089,                0.01061,                 1.6911,                    inf,                 1.5835,              0.0012714,              0.0012714,              0.0012714
                      4,                 1.2287,                0.94409,                 1.1327,                0.00278,                0.21311,                0.00163,                0.00062,                 3.3372,                    inf,                 29.022,              0.0016826,              0.0016826,              0.0016826
                      5,                 1.2959,                0.91814,                 1.1616,                 0.0437,                0.55328,                0.03217,                0.01374,                 2.1894,                 75.666,                 2.8965,               0.001912,               0.001912,               0.001912
                      6,                 1.2468,                0.84586,                 1.1271,                0.42589,                0.61066,                0.44315,                0.25862,                 1.4381,                    1.8,                 1.3226,                0.00189,                0.00189,                0.00189
                      7,                 1.2305,                0.86272,                 1.1445,                0.62265,                0.65984,                0.61939,                0.36156,                 1.4529,                 1.6695,                 1.3682,               0.001868,               0.001868,               0.001868
                      8,                 1.2013,                0.84292,                 1.1292,                0.74141,                0.59836,                0.67493,                0.40512,                 1.4186,                 1.4031,                 1.3197,               0.001846,               0.001846,               0.001846
                      9,                 1.2054,                0.79943,                 1.1164,                0.74226,                0.65984,                0.70397,                0.37597,                 1.5492,                 1.1921,                 1.4497,               0.001824,               0.001824,               0.001824
                     10,                 1.1803,                0.78307,                 1.1003,                0.66472,                0.71721,                0.72519,                 0.4516,                  1.284,                 1.1353,                 1.2617,               0.001802,               0.001802,               0.001802
                     11,                 1.1402,                0.73654,                 1.0746,                0.82081,                0.77459,                0.83962,                0.49732,                 1.2952,                 1.0187,                 1.2118,                0.00178,                0.00178,                0.00178
                     12,                 1.1607,                0.72631,                 1.0963,                0.81225,                0.74467,                0.81403,                0.47361,                 1.3184,                 1.1097,                 1.2451,               0.001758,               0.001758,               0.001758
                     13,                 1.1109,                 0.6969,                 1.0869,                 0.8684,                 0.7582,                0.82377,                0.51721,                 1.2302,                 1.2192,                 1.2141,               0.001736,               0.001736,               0.001736
                     14,                 1.1163,                0.71104,                 1.0727,                0.84277,                0.77459,                0.84554,                0.54353,                 1.2241,                0.84782,                  1.154,               0.001714,               0.001714,               0.001714
                     15,                 1.0988,                0.67813,                 1.0771,                 0.9022,                0.72131,                 0.8195,                0.51527,                 1.2619,                0.90344,                 1.2159,               0.001692,               0.001692,               0.001692
                     16,                 1.1016,                0.67942,                 1.0442,                0.86429,                0.80915,                0.87537,                0.55303,                 1.2091,                 0.7661,                 1.1595,                0.00167,                0.00167,                0.00167
                     17,                 1.0693,                0.66284,                  1.055,                0.86209,                0.79422,                0.87475,                0.55774,                  1.214,                0.74532,                 1.1646,               0.001648,               0.001648,               0.001648
                     18,                 1.0545,                0.66215,                 1.0411,                 0.9243,                0.81967,                0.90281,                0.59966,                 1.1375,                0.67235,                 1.1478,               0.001626,               0.001626,               0.001626
                     19,                 1.0278,                0.63553,                 1.0168,                0.90976,                0.82787,                0.88889,                 0.5866,                 1.1091,                0.67416,                 1.1191,               0.001604,               0.001604,               0.001604
                     20,                 1.0278,                0.61116,                 1.0288,                0.90182,                0.79054,                0.87088,                0.56927,                 1.2033,                  0.765,                 1.1561,               0.001582,               0.001582,               0.001582
                     21,                 1.0517,                0.62717,                  1.039,                 0.9173,                0.83197,                0.91573,                 0.5828,                 1.2427,                0.74398,                 1.1703,                0.00156,                0.00156,                0.00156
                     22,                 1.0396,                0.62872,                 1.0308,                0.90062,                0.84016,                0.90577,                0.60185,                 1.1102,                0.67243,                 1.1179,               0.001538,               0.001538,               0.001538
                     23,                 1.0006,                0.59932,                 1.0188,                0.91654,                0.85513,                0.91384,                0.59838,                 1.1354,                0.63301,                 1.1197,               0.001516,               0.001516,               0.001516
                     24,                 1.0131,                0.59085,                 1.0233,                0.92514,                0.81041,                 0.8851,                0.57695,                 1.1538,                0.71324,                 1.1379,               0.001494,               0.001494,               0.001494
                     25,                 1.0096,                0.58394,                 1.0119,                0.89665,                0.85338,                0.90719,                0.59929,                 1.1237,                0.69726,                 1.1129,               0.001472,               0.001472,               0.001472
                     26,                0.97513,                0.59751,                 1.0199,                0.91589,                0.87295,                0.92511,                0.60333,                 1.1727,                0.69399,                 1.1587,                0.00145,                0.00145,                0.00145
                     27,                0.96885,                0.58115,                0.99249,                0.91935,                0.86066,                0.91513,                0.59831,                 1.1642,                0.67952,                 1.1311,               0.001428,               0.001428,               0.001428
                     28,                0.97481,                0.57655,                 1.0122,                0.93144,                0.83521,                0.93412,                0.60758,                 1.1404,                0.61805,                 1.1394,               0.001406,               0.001406,               0.001406
