                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.401,                 3.4701,                 1.1826,                0.09688,                0.40068,                0.12504,                0.07844,                 1.1951,                 2.8027,                   1.04,             0.00014994,             0.00014994,             0.00014994
                      2,                 1.1724,                 2.0587,                 1.0525,                0.51047,                0.31774,                 0.3347,                0.20736,                  1.206,                 2.1307,                 1.1217,             0.00030398,             0.00030398,             0.00030398
                      3,                 1.1214,                 1.6284,                 1.0588,                0.40126,                0.45241,                0.44311,                0.29135,                 1.2065,                 2.0761,                 1.1518,             0.00045491,             0.00045491,             0.00045491
                      4,                 1.0856,                 1.4063,                 1.0553,                 0.4431,                0.52824,                0.47779,                0.31938,                 1.2427,                 1.7306,                 1.2198,             0.00060273,             0.00060273,             0.00060273
                      5,                 1.0891,                 1.3634,                 1.0464,                0.60547,                 0.5429,                0.56079,                0.37377,                 1.2078,                 1.5716,                 1.1991,             0.00068573,             0.00068573,             0.00068573
                      6,                  1.054,                 1.2312,                 1.0342,                0.56645,                 0.5715,                 0.5527,                0.36905,                 1.1837,                 1.3808,                 1.1505,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.0509,                  1.236,                 1.0561,                0.65179,                 0.4831,                0.58831,                0.39027,                 1.1471,                 1.3989,                 1.1496,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.0387,                 1.1479,                  1.044,                0.71075,                 0.4994,                0.59329,                0.39376,                 1.1763,                 1.2714,                 1.1751,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.0391,                 1.0415,                 1.0434,                0.61736,                0.56021,                 0.5965,                0.39144,                 1.2017,                 1.3865,                 1.1885,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.0146,                0.98695,                  1.021,                0.71637,                0.55039,                0.63644,                0.43827,                 1.0993,                 1.2228,                  1.132,             0.00065038,             0.00065038,             0.00065038
                     11,                0.99562,                0.92299,                 1.0046,                 0.5553,                0.62773,                0.61921,                0.41168,                 1.1821,                 1.1992,                 1.1211,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.0086,                0.90267,                 1.0246,                0.67693,                0.57891,                0.65644,                  0.449,                 1.1332,                  1.021,                 1.0922,             0.00063625,             0.00063625,             0.00063625
                     13,                 0.9592,                0.85344,                 1.0071,                0.67044,                0.63676,                0.67212,                0.45405,                 1.1045,                 1.0342,                 1.1073,             0.00062918,             0.00062918,             0.00062918
                     14,                0.97597,                0.85726,                 1.0111,                0.66491,                0.63943,                0.70026,                0.48008,                 1.0864,                0.97057,                  1.115,             0.00062211,             0.00062211,             0.00062211
                     15,                0.97326,                0.79113,                 1.0169,                0.68378,                0.64132,                0.68809,                0.46474,                 1.0852,                 1.0627,                 1.1104,             0.00061504,             0.00061504,             0.00061504
                     16,                0.94553,                0.78085,                0.98624,                 0.7219,                0.65723,                0.72064,                0.48913,                 1.1112,                0.93791,                 1.1212,             0.00060797,             0.00060797,             0.00060797
                     17,                0.92685,                0.78607,                 0.9882,                 0.7248,                0.62988,                 0.7063,                0.46423,                 1.1288,                0.91746,                 1.1049,              0.0006009,              0.0006009,              0.0006009
                     18,                0.91587,                0.74665,                 0.9767,                 0.7406,                0.65765,                0.73242,                0.50757,                 1.0992,                0.92616,                 1.0846,             0.00059383,             0.00059383,             0.00059383
                     19,                0.91966,                0.73444,                0.96801,                0.84288,                0.58148,                0.71222,                 0.4941,                 1.0689,                0.93769,                 1.0859,             0.00058677,             0.00058677,             0.00058677
                     20,                0.89146,                0.70315,                0.96728,                0.77515,                0.63398,                0.70614,                0.48522,                 1.1379,                 1.0029,                 1.1422,              0.0005797,              0.0005797,              0.0005797
                     21,                0.91231,                0.72377,                0.97672,                0.68884,                0.67645,                0.72034,                0.48046,                 1.1451,                 1.0181,                 1.1213,             0.00057263,             0.00057263,             0.00057263
                     22,                0.89411,                0.70919,                0.96423,                 0.7535,                0.63521,                0.72941,                0.49531,                 1.0961,                0.91992,                 1.0676,             0.00056556,             0.00056556,             0.00056556
                     23,                0.88498,                0.69454,                0.96405,                0.74258,                0.63442,                0.69722,                0.47088,                 1.0927,                 1.0021,                 1.0848,             0.00055849,             0.00055849,             0.00055849
                     24,                0.88653,                0.68411,                0.96607,                0.75884,                 0.6181,                0.73352,                 0.5033,                 1.0904,                0.93536,                 1.0904,             0.00055142,             0.00055142,             0.00055142
