                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4814,                 1.3773,                 1.0691,                0.37956,                0.21092,                0.10098,                0.06997,                    nan,                    nan,                    nan,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.3565,                0.89684,                 1.0035,                 0.0763,                0.26342,                0.05494,                 0.0308,                    nan,                    nan,                    nan,             0.00081179,             0.00081179,             0.00081179
                      3,                 1.3348,                0.83179,                0.99616,                0.22831,                0.31599,                0.18113,                0.10258,                    nan,                    nan,                    nan,              0.0012066,              0.0012066,              0.0012066
                      4,                 1.2975,                0.78539,                0.98407,                0.14984,                 0.3001,                0.10337,                0.06679,                    nan,                    nan,                    nan,              0.0012005,              0.0012005,              0.0012005
                      5,                 1.2815,                0.76076,                0.98378,                0.13791,                 0.2053,                0.09904,                0.04915,                    nan,                    nan,                    nan,               0.001184,               0.001184,               0.001184
                      6,                 1.2366,                 0.7111,                0.96722,                 0.0969,                0.38661,                0.11043,                0.07218,                    nan,                    nan,                    nan,              0.0011675,              0.0011675,              0.0011675
                      7,                 1.2171,                0.69088,                0.96115,                0.11027,                0.37611,                0.08963,                0.04472,                    nan,                    nan,                    nan,               0.001151,               0.001151,               0.001151
                      8,                 1.2124,                0.70131,                0.95798,                0.19703,                 0.1989,                0.12124,                0.05926,                    nan,                    nan,                    nan,              0.0011345,              0.0011345,              0.0011345
                      9,                 1.2011,                0.68755,                  0.959,                0.26121,                0.40099,                0.18336,                0.09361,                    nan,                    nan,                    nan,               0.001118,               0.001118,               0.001118
                     10,                 1.1882,                0.65228,                0.95382,                0.23509,                0.32585,                0.13461,                0.06474,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                     11,                 1.1644,                0.62999,                0.94471,                0.10381,                0.43373,                0.13701,                0.06197,                    nan,                    nan,                    nan,               0.001085,               0.001085,               0.001085
                     12,                 1.1532,                0.63736,                0.94633,                0.14323,                0.23149,                0.09957,                0.04527,                    nan,                    nan,                    nan,              0.0010685,              0.0010685,              0.0010685
                     13,                 1.1538,                0.63288,                0.94393,                0.13277,                0.27997,                  0.104,                0.06291,                    nan,                    nan,                    nan,               0.001052,               0.001052,               0.001052
                     14,                 1.1519,                0.62468,                0.94272,                0.11997,                0.23078,                0.08522,                0.04129,                    nan,                    nan,                    nan,              0.0010355,              0.0010355,              0.0010355
                     15,                 1.1295,                0.61035,                0.93504,                0.07962,                0.43591,                0.06869,                0.03287,                    nan,                    nan,                    nan,               0.001019,               0.001019,               0.001019
                     16,                 1.1197,                0.60242,                0.93493,                0.11699,                0.29071,                0.09524,                 0.0466,                    nan,                    nan,                    nan,              0.0010025,              0.0010025,              0.0010025
                     17,                 1.0906,                0.58829,                0.92489,                0.12809,                0.26873,                0.12477,                0.06558,                    nan,                    nan,                    nan,               0.000986,               0.000986,               0.000986
                     18,                   1.09,                0.59878,                0.92313,                0.10381,                0.50488,                0.11451,                0.06185,                    nan,                    nan,                    nan,              0.0009695,              0.0009695,              0.0009695
                     19,                 1.0934,                0.58893,                0.92217,                0.15374,                0.38551,                0.10125,                0.05655,                    nan,                    nan,                    nan,               0.000953,               0.000953,               0.000953
                     20,                 1.0761,                0.57048,                0.91771,                0.08834,                0.46977,                0.10342,                0.05112,                    nan,                    nan,                    nan,              0.0009365,              0.0009365,              0.0009365
                     21,                 1.0798,                0.57946,                0.92396,                  0.094,                0.45102,                0.06905,                0.03636,                    nan,                    nan,                    nan,                0.00092,                0.00092,                0.00092
                     22,                 1.0472,                0.55892,                0.91352,                0.17405,                0.49883,                0.13324,                0.06259,                    nan,                    nan,                    nan,              0.0009035,              0.0009035,              0.0009035
                     23,                 1.0489,                0.55145,                0.91571,                0.10101,                0.51954,                 0.0814,                0.04157,                    nan,                    nan,                    nan,               0.000887,               0.000887,               0.000887
                     24,                 1.0494,                0.55378,                0.91286,                0.12793,                0.47579,                0.12923,                0.08088,                    nan,                    nan,                    nan,              0.0008705,              0.0008705,              0.0008705
                     25,                 1.0391,                0.55284,                0.91013,                0.11471,                 0.3665,                0.08296,                0.04496,                    nan,                    nan,                    nan,               0.000854,               0.000854,               0.000854
                     26,                 1.0402,                0.53995,                0.90883,                0.10797,                  0.353,                0.08025,                 0.0328,                    nan,                    nan,                    nan,              0.0008375,              0.0008375,              0.0008375
                     27,                 1.0137,                0.53233,                0.90344,                0.14431,                0.41057,                0.10457,                0.06168,                    nan,                    nan,                    nan,               0.000821,               0.000821,               0.000821
                     28,                 1.0073,                0.52187,                0.90366,                0.08019,                0.49628,                0.08785,                0.04861,                    nan,                    nan,                    nan,              0.0008045,              0.0008045,              0.0008045
                     29,                 0.9951,                0.51663,                0.90039,                0.10347,                0.54684,                0.14974,                0.07522,                    nan,                    nan,                    nan,               0.000788,               0.000788,               0.000788
                     30,                0.99148,                0.50412,                0.89784,                0.13372,                0.41162,                0.16145,                0.06596,                    nan,                    nan,                    nan,              0.0007715,              0.0007715,              0.0007715
                     31,                0.96051,                0.50782,                0.88905,                0.13268,                0.42998,                 0.1253,                0.07954,                    nan,                    nan,                    nan,               0.000755,               0.000755,               0.000755
                     32,                0.97262,                0.50613,                0.89096,                0.07774,                0.41725,                0.08842,                0.05288,                    nan,                    nan,                    nan,              0.0007385,              0.0007385,              0.0007385
                     33,                0.94151,                0.49104,                0.88593,                0.18848,                0.28641,                0.09211,                0.04855,                    nan,                    nan,                    nan,               0.000722,               0.000722,               0.000722
                     34,                0.95225,                0.49124,                0.89124,                0.07161,                0.43755,                0.08397,                0.04874,                    nan,                    nan,                    nan,              0.0007055,              0.0007055,              0.0007055
