                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                  1.486,                 2.6175,                 1.0096,             0.00040675,             0.00040675,             0.00040675
                      2,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,             0.00081254,             0.00081254,             0.00081254
                      3,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0012073,              0.0012073,              0.0012073
                      4,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0012005,              0.0012005,              0.0012005
                      5,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0012005,              0.0012005,              0.0012005
                      6,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,               0.001184,               0.001184,               0.001184
                      7,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0011675,              0.0011675,              0.0011675
                      8,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,               0.001151,               0.001151,               0.001151
                      9,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0011345,              0.0011345,              0.0011345
                     10,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,               0.001118,               0.001118,               0.001118
                     11,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                     12,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,               0.001085,               0.001085,               0.001085
                     13,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0010685,              0.0010685,              0.0010685
                     14,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,               0.001052,               0.001052,               0.001052
                     15,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0010355,              0.0010355,              0.0010355
                     16,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,               0.001019,               0.001019,               0.001019
                     17,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0010025,              0.0010025,              0.0010025
                     18,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,               0.000986,               0.000986,               0.000986
                     19,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0009695,              0.0009695,              0.0009695
                     20,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,               0.000953,               0.000953,               0.000953
                     21,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0009365,              0.0009365,              0.0009365
                     22,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,                0.00092,                0.00092,                0.00092
                     23,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,              0.0009035,              0.0009035,              0.0009035
                     24,                    nan,                    nan,                    nan,                0.05332,                0.50793,                0.16132,                0.08143,                    nan,                    nan,                    nan,               0.000887,               0.000887,               0.000887
