                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.01172,                0.03409,                0.00733,                0.00535,                    nan,                    nan,                    nan,             0.00040741,             0.00040741,             0.00040741
                      2,                    nan,                    nan,                    nan,                0.03601,                 0.3075,                0.02877,                0.01564,                    nan,                    nan,                    nan,             0.00079144,             0.00079144,             0.00079144
                      3,                    nan,                    nan,                    nan,                0.01547,                0.44274,                0.02161,                0.01169,                    nan,                    nan,                    nan,              0.0011425,              0.0011425,              0.0011425
                      4,                    nan,                    nan,                    nan,                0.01331,                 0.4146,                0.02081,                0.01128,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                      5,                    nan,                    nan,                    nan,                  0.013,                0.41633,                0.02115,                0.01135,                    nan,                    nan,                    nan,               0.001052,               0.001052,               0.001052
                      6,                    nan,                    nan,                    nan,                0.01228,                0.38126,                0.02117,                0.01144,                    nan,                    nan,                    nan,              0.0010025,              0.0010025,              0.0010025
                      7,                    nan,                    nan,                    nan,                0.01255,                0.39879,                0.02114,                0.01151,                    nan,                    nan,                    nan,               0.000953,               0.000953,               0.000953
                      8,                    nan,                    nan,                    nan,                0.01286,                0.40139,                0.02137,                0.01179,                    nan,                    nan,                    nan,              0.0009035,              0.0009035,              0.0009035
                      9,                    nan,                    nan,                    nan,                0.01275,                0.40052,                 0.0217,                0.01178,                    nan,                    nan,                    nan,               0.000854,               0.000854,               0.000854
                     10,                    nan,                    nan,                    nan,                0.01251,                0.39793,                0.02144,                0.01161,                    nan,                    nan,                    nan,              0.0008045,              0.0008045,              0.0008045
                     11,                    nan,                    nan,                    nan,                0.01248,                0.39879,                0.02097,                0.01152,                    nan,                    nan,                    nan,               0.000755,               0.000755,               0.000755
                     12,                    nan,                    nan,                    nan,                0.01246,                0.39879,                0.02054,                0.01137,                    nan,                    nan,                    nan,              0.0007055,              0.0007055,              0.0007055
                     13,                    nan,                    nan,                    nan,                0.01276,                0.43126,                0.02106,                0.01151,                    nan,                    nan,                    nan,               0.000656,               0.000656,               0.000656
                     14,                    nan,                    nan,                    nan,                0.01257,                0.39966,                0.02057,                0.01123,                    nan,                    nan,                    nan,              0.0006065,              0.0006065,              0.0006065
                     15,                    nan,                    nan,                    nan,                0.01245,                0.39879,                0.02081,                0.01139,                    nan,                    nan,                    nan,               0.000557,               0.000557,               0.000557
                     16,                    nan,                    nan,                    nan,                0.01248,                0.38559,                0.02377,                0.01255,                    nan,                    nan,                    nan,              0.0005075,              0.0005075,              0.0005075
                     17,                    nan,                    nan,                    nan,                0.01109,                 0.3462,                0.02394,                0.01253,                    nan,                    nan,                    nan,               0.000458,               0.000458,               0.000458
                     18,                    nan,                    nan,                    nan,                0.01139,                0.36373,                0.02432,                0.01256,                    nan,                    nan,                    nan,              0.0004085,              0.0004085,              0.0004085
                     19,                    nan,                    nan,                    nan,                0.01133,                 0.3778,                0.02726,                0.01341,                    nan,                    nan,                    nan,               0.000359,               0.000359,               0.000359
                     20,                    nan,                    nan,                    nan,                0.01147,                0.37953,                0.02638,                0.01336,                    nan,                    nan,                    nan,              0.0003095,              0.0003095,              0.0003095
                     21,                    nan,                    nan,                    nan,                0.01144,                0.37867,                 0.0265,                0.01333,                    nan,                    nan,                    nan,                0.00026,                0.00026,                0.00026
                     22,                    nan,                    nan,                    nan,                0.01091,                0.36384,                0.02734,                0.01381,                    nan,                    nan,                    nan,              0.0002105,              0.0002105,              0.0002105
                     23,                    nan,                    nan,                    nan,                0.01118,                0.38051,                0.02683,                0.01339,                    nan,                    nan,                    nan,               0.000161,               0.000161,               0.000161
                     24,                    nan,                    nan,                    nan,                0.01121,                0.39187,                0.02626,                0.01339,                    nan,                    nan,                    nan,              0.0001115,              0.0001115,              0.0001115
                     25,                    nan,                    nan,                    nan,                0.01116,                0.37694,                0.02703,                0.01356,                    nan,                    nan,                    nan,                6.2e-05,                6.2e-05,                6.2e-05
