                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6335,                  2.263,                  1.075,                0.90166,                0.12007,                 0.1561,                0.09309,                 1.3976,                 2.6114,                 1.0086,             0.00040741,             0.00040741,             0.00040741
                      2,                 1.4458,                 1.1285,                  1.005,                0.41274,                0.13324,                0.17942,                0.10169,                 1.4655,                 2.1002,                 1.0423,              0.0008132,              0.0008132,              0.0008132
                      3,                 1.3853,                 1.0341,                0.99646,                0.49382,                0.22226,                0.19854,                0.11687,                 1.4011,                 1.8196,                 1.0395,               0.001208,               0.001208,               0.001208
                      4,                 1.3393,                0.97128,                0.98413,                0.53762,                0.28016,                0.28716,                0.15294,                 1.4792,                 1.6647,                 1.0945,              0.0012005,              0.0012005,              0.0012005
                      5,                 1.3495,                0.94278,                0.98535,                0.56452,                0.31926,                0.32441,                0.17417,                 1.4196,                 1.4713,                 1.0507,               0.001184,               0.001184,               0.001184
                      6,                 1.3057,                0.89724,                0.96774,                0.60472,                0.39506,                0.35831,                0.18913,                 1.4025,                 1.3475,                 1.0597,              0.0011675,              0.0011675,              0.0011675
                      7,                 1.2937,                0.86847,                 0.9721,                0.52627,                0.35601,                0.32321,                0.16601,                 1.4413,                 1.4071,                  1.089,               0.001151,               0.001151,               0.001151
                      8,                 1.2694,                0.82679,                0.96462,                0.59694,                   0.45,                 0.3856,                0.21287,                 1.3939,                 1.4053,                  1.062,              0.0011345,              0.0011345,              0.0011345
                      9,                 1.2665,                0.81398,                0.96463,                0.59031,                0.49937,                0.39686,                0.23134,                 1.3611,                 1.2292,                 1.0285,               0.001118,               0.001118,               0.001118
                     10,                 1.2632,                0.79993,                0.95783,                0.42331,                0.46148,                0.41363,                0.24005,                 1.3699,                 1.2818,                 1.0542,              0.0011015,              0.0011015,              0.0011015
                     11,                 1.2234,                0.77552,                0.95698,                0.41995,                0.44855,                0.41717,                0.24017,                 1.3458,                 1.2915,                 1.0409,               0.001085,               0.001085,               0.001085
                     12,                 1.2355,                0.76528,                0.95394,                0.48986,                0.42837,                0.41469,                 0.2234,                 1.4473,                 1.3403,                 1.0845,              0.0010685,              0.0010685,              0.0010685
                     13,                 1.2214,                0.74207,                0.94948,                0.48042,                0.50031,                0.43119,                0.24988,                 1.4612,                 1.2057,                 1.1034,               0.001052,               0.001052,               0.001052
                     14,                 1.2032,                 0.7463,                0.94883,                0.50186,                0.49993,                0.47574,                0.26381,                 1.3998,                 1.1936,                 1.0625,              0.0010355,              0.0010355,              0.0010355
                     15,                 1.2154,                0.72976,                0.95163,                0.57234,                0.54277,                0.50698,                0.29027,                 1.4019,                 1.2243,                 1.0711,               0.001019,               0.001019,               0.001019
                     16,                 1.1938,                0.71768,                0.94418,                0.45152,                0.54864,                0.42922,                0.24222,                 1.3914,                 1.2227,                 1.0527,              0.0010025,              0.0010025,              0.0010025
                     17,                 1.1907,                0.70967,                0.94224,                0.31005,                0.45702,                0.35501,                0.19982,                 1.3704,                 1.3272,                  1.068,               0.000986,               0.000986,               0.000986
                     18,                 1.1799,                0.69224,                0.94114,                0.56387,                0.47309,                0.46871,                0.25918,                 1.3555,                 1.3015,                 1.0583,              0.0009695,              0.0009695,              0.0009695
                     19,                 1.1789,                0.68184,                0.94238,                0.68044,                0.45272,                0.53815,                0.31069,                 1.3552,                 1.2224,                 1.0555,               0.000953,               0.000953,               0.000953
                     20,                 1.1794,                0.69125,                0.94352,                0.34738,                0.38281,                0.38873,                0.22666,                 1.4109,                 1.2393,                 1.0664,              0.0009365,              0.0009365,              0.0009365
                     21,                 1.1469,                0.66223,                0.93403,                0.47081,                0.46892,                0.42429,                0.24449,                 1.4167,                 1.3325,                 1.0816,                0.00092,                0.00092,                0.00092
